address,weekly price,number of bedrooms,number of bathrooms,number of parking,Property_Features,number_of_schools,distance to the closest schools(meters)
Narrabundah,900.0,3,2,2,Energy Eff. Rating: 4,15,598
Kambah,486.0,3,1,1,nan,14,682
Phillip,630.0,2,2,2,Built in wardrobes,14,728
Kingston,530.0,2,1,1,Dishwasher,15,414
Narrabundah,600.0,2,2,1,nan,13,458
nan,700.0,3,1,0,nan,13,318
Page,810.0,4,2,2,Air conditioning,13,951
Wright,440.0,1,1,1,Dishwasher,9,264
Downer,650.0,3,1,2,nan,15,495
Kingston,510.0,1,1,1,nan,15,1104
City,550.0,1,1,1,nan,13,1075
Garran,640.0,3,1,1,nan,13,484
Pearce,470.0,2,1,1,nan,13,448
Reid,700.0,2,2,2,Pets Allowed,13,790
Mawson,360.0,1,1,1,nan,13,626
Barton,580.0,1,1,1,Energy Eff. Rating: 6,14,785
Wright,470.0,1,1,1,nan,10,646
Giralang,575.0,3,1,2,nan,9,446
Red Hill,390.0,1,1,1,nan,14,416
Narrabundah,900.0,3,2,2,Energy Eff. Rating: 4,15,598
Coombs,650.0,3,2,2,Energy Eff. Rating: 4,9,647
Forde,1200.0,5,3,4,Air conditioning,10,286
Griffith,1190.0,3,2,2,Secure Parking,15,520
Bruce,475.0,0,1,1,Air conditioning,12,1016
Bonner,750.0,3,2,2,nan,9,306
Florey,650.0,3,1,1,Internal Laundry,12,177
Barton,560.0,1,1,1,Intercom,14,806
Braddon,275.0,1,1,1,Dishwasher,13,668
Belconnen,575.0,2,2,2,nan,10,200
Narrabundah,750.0,2,2,2,Air conditioning,15,421
Turner,nan,1,1,1,Energy Eff. Rating: 5,13,472
Forde,895.0,4,2,2,Air conditioning,10,331
Griffith,620.0,1,1,1,nan,15,520
Griffith,560.0,1,1,1,Air conditioning,15,789
Kingston,500.0,1,1,1,nan,15,355
Kingston,675.0,2,2,1,Air conditioning,15,412
Greenway,540.0,2,2,1,nan,12,1114
Harrison,720.0,4,2,2,nan,7,597
Phillip,495.0,1,1,1,nan,14,871
Belconnen,520.0,2,1,1,nan,10,635
Casey,650.0,3,2,2,Built in wardrobes,10,909
nan,505.0,2,1,1,Pets Allowed,13,1270
Kingston,560.0,2,1,1,nan,15,689
Braddon,550.0,1,1,1,Furnished,13,603
Ngunnawal,560.0,3,1,1,nan,11,819
Harrison,605.0,2,2,1,nan,9,261
Torrens,545.0,3,1,1,nan,13,527
Kambah,670.0,3,2,2,Energy Eff. Rating: 3,13,630
Pearce,250.0,2,1,1,nan,13,512
Bruce,450.0,1,1,1,Built in wardrobes,12,943
Campbell,700.0,2,1,1,nan,13,684
Griffith,580.0,2,1,1,Secure Parking,15,694
Dickson,800.0,3,2,2,Energy Eff. Rating: 6.5,14,246
Phillip,850.0,3,2,2,Air conditioning,14,488
Dunlop,800.0,4,2,2,Air conditioning,9,731
Dickson,630.0,2,2,1,nan,14,580
Casey,780.0,4,2,2,Secure Parking,10,1053
Barton,650.0,2,2,1,nan,14,806
Phillip,590.0,2,2,1,Air conditioning,16,508
Bruce,480.0,1,1,1,Secure Parking,12,996
Belconnen,480.0,1,1,1,Pets Allowed,10,228
Kingston,815.0,2,2,2,nan,15,1143
Phillip,400.0,1,1,0,nan,16,508
Forde,850.0,4,2,2,Built in wardrobes,10,186
Narrabundah,460.0,1,1,1,Alarm System,14,459
Braddon,800.0,3,1,2,nan,12,100
Isaacs,900.0,4,2,2,nan,13,919
Braddon,850.0,2,2,2,Furnished,13,660
Phillip,450.0,1,1,1,nan,14,424
Nicholls,nan,4,2,2,Ensuite,12,603
Chisholm,540.0,2,1,1,nan,10,672
Campbell,540.0,1,1,1,Energy Eff. Rating: 6,13,628
Phillip,610.0,2,2,1,Balcony,14,453
Kingston,735.0,1,1,1,Furnished,15,1142
Narrabundah,620.0,2,2,1,Floorboards,14,923
Lyneham,530.0,2,1,1,Secure Parking,12,1116
Harrison,800.0,4,2,2,Secure Parking,8,651
Waramanga,530.0,2,1,1,Energy Eff. Rating: 5,13,295
Braddon,760.0,2,2,2,Balcony,13,546
Kaleen,680.0,3,2,2,Secure Parking,12,587
Braddon,750.0,2,2,2,Balcony,13,444
Dunlop,730.0,4,2,2,Built in wardrobes,9,1375
Weston,700.0,3,1,1,nan,14,372
Lyneham,400.0,3,2,2,Energy Eff. Rating: 6,13,575
Lyneham,355.0,1,1,0,nan,13,443
Kaleen,nan,2,1,2,Built in wardrobes,12,211
Franklin,590.0,3,2,1,Built in wardrobes,10,621
Griffith,690.0,1,1,1,Air conditioning,15,753
Casey,590.0,2,2,1,Energy Eff. Rating: 6,10,666
Latham,735.0,4,2,1,Floorboards,10,252
Griffith,660.0,2,2,2,Ensuite,15,467
Lyons,650.0,3,2,2,Ensuite,14,941
Gungahlin,435.0,1,1,1,nan,10,697
Belconnen,480.0,1,1,1,Air conditioning,10,179
Campbell,390.0,1,1,1,nan,13,304
Whitlam,1100.0,4,3,2,Study,5,3159
Phillip,460.0,1,1,1,Secure Parking,14,399
City,560.0,1,1,1,Air conditioning,13,1137
Curtin,850.0,5,2,2,Energy Eff. Rating: 1.5,13,614
Phillip,450.0,1,1,0,Air conditioning,16,494
Taylor,710.0,4,2,2,Energy Eff. Rating: 7.5,8,867
Kingston,480.0,1,1,1,Intercom,15,901
Fraser,550.0,3,1,2,Balcony,8,364
Amaroo,309.0,4,2,1,nan,11,873
Strathnairn,850.0,4,2,2,Pets Allowed,8,2287
Belconnen,480.0,1,1,1,Built in wardrobes,10,198
Phillip,450.0,1,1,1,nan,14,409
Griffith,660.0,2,2,2,Pets Allowed,15,853
Belconnen,510.0,2,1,1,nan,10,644
Belconnen,550.0,2,1,1,Air conditioning,10,223
Pearce,700.0,2,2,2,Energy Eff. Rating: 4,13,518
Ngunnawal,540.0,2,1,1,Garden / Courtyard,10,1202
Phillip,400.0,1,1,0,Air conditioning,14,399
Gungahlin,575.0,4,1,1,Dishwasher,10,799
Gungahlin,430.0,1,1,1,Air conditioning,10,857
Melba,315.0,3,1,2,Study,9,447
Hughes,350.0,1,1,0,nan,13,301
Lyneham,650.0,2,2,2,nan,13,435
Rivett,730.0,3,2,2,Courtyard,14,1032
Dickson,397.0,2,3,1,Air conditioning,14,508
Bruce,595.0,2,2,2,Pets Allowed,12,686
Phillip,475.0,1,1,1,Furnished,14,720
Watson,620.0,3,1,2,Built in wardrobes,14,439
Macgregor,480.0,2,1,3,Secure Parking,10,696
Holt,520.0,2,2,2,nan,10,812
Kingston,550.0,1,1,1,Close to transport,15,615
Greenway,465.0,1,1,1,nan,13,1030
Hackett,950.0,3,2,2,Air conditioning,13,178
Lyneham,550.0,1,1,1,Floorboards,13,320
Braddon,590.0,2,1,1,nan,13,195
Wright,580.0,2,2,2,nan,9,327
Page,365.0,1,1,1,Close to transport,12,419
Narrabundah,650.0,2,2,1,Air conditioning,13,459
Gungahlin,450.0,1,1,1,nan,11,580
Macquarie,740.0,3,1,1,Secure Parking,9,522
