address,price,bedrooms,bathrooms,parking,Property_Features,number_of_schools,closest_school
Narrabundah,900,3,2,2,Energy Eff. Rating: 4,15,598 
Kambah,486,3,1,1,nan,14,682 
Phillip,630,2,2,2,Built in wardrobes,14,728 
Kingston,530,2,1,1,Dishwasher,15,414 
Narrabundah,600,2,2,1,nan,13,458 
O'Connor,700,3,1,0,nan,13,318 
Page,810,4,2,2,Air conditioning,13,951 
Wright,440,1,1,1,Dishwasher,9,264 
Downer,650,3,1,2,nan,15,495 
Kingston,510,1,1,1,nan,15,1104 
City,550,1,1,1,nan,13,1075 
Garran,640,3,1,1,nan,13,484 
Pearce,470,2,1,1,nan,13,448 
Reid,700,2,2,2,Pets Allowed,13,790 
Mawson,360,1,1,1,nan,13,626 
Barton,580,1,1,1,Energy Eff. Rating: 6,14,785 
Wright,470,1,1,1,nan,10,646 
Giralang,575,3,1,2,nan,9,446 
Red Hill,390,1,1,1,nan,14,416 
Narrabundah,900,3,2,2,Energy Eff. Rating: 4,15,598 
Coombs,650,3,2,2,Energy Eff. Rating: 4,9,647 
Forde,1200,5,3,4,Air conditioning,10,286 
Griffith,1190,3,2,2,Secure Parking,15,520 
Bruce,475,0,1,1,Air conditioning,12,1016 
Bonner,750,3,2,2,nan,9,306 
Florey,650,3,1,1,Internal Laundry,12,177 
Barton,560,1,1,1,Intercom,14,806 
Braddon,550,1,1,1,Dishwasher,13,668 
Belconnen,575,2,2,2,nan,10,200 
Narrabundah,750,2,2,2,Air conditioning,15,421 
Turner,nan,1,1,1,Energy Eff. Rating: 5,13,472 
Forde,895,4,2,2,Air conditioning,10,331 
Griffith,620,1,1,1,nan,15,520 
Griffith,560,1,1,1,Air conditioning,15,789 
Kingston,500,1,1,1,nan,15,355 
Kingston,675,2,2,1,Air conditioning,15,412 
Greenway,540,2,2,1,nan,12,1114 
Harrison,720,4,2,2,nan,7,597 
Phillip,495,1,1,1,nan,14,871 
Belconnen,520,2,1,1,nan,10,635 
Casey,650,3,2,2,Built in wardrobes,10,909 
O'Connor,505,2,1,1,Pets Allowed,13,1270 
Kingston,560,2,1,1,nan,15,689 
Braddon,550,1,1,1,Furnished,13,603 
Ngunnawal,560,3,1,1,nan,11,819 
Harrison,605,2,2,1,nan,9,261 
Torrens,545,3,1,1,nan,13,527 
Kambah,670,3,2,2,Energy Eff. Rating: 3,13,630 
Pearce,500,2,1,1,nan,13,512 
Bruce,450,1,1,1,Built in wardrobes,12,943 
Campbell,700,2,1,1,nan,13,684 
Griffith,580,2,1,1,Secure Parking,15,694 
Dickson,800,3,2,2,Energy Eff. Rating: 6.5,14,246 
Phillip,850,3,2,2,Air conditioning,14,488 
Dunlop,800,4,2,2,Air conditioning,9,731 
Dickson,630,2,2,1,nan,14,580 
Casey,780,4,2,2,Secure Parking,10,1053 
Barton,650,2,2,1,nan,14,806 
Phillip,590,2,2,1,Air conditioning,16,508 
Bruce,480,1,1,1,Secure Parking,12,996 
Belconnen,480,1,1,1,Pets Allowed,10,228 
Kingston,815,2,2,2,nan,15,1143 
Phillip,400,1,1,0,nan,16,508 
Forde,850,4,2,2,Built in wardrobes,10,186 
Narrabundah,460,1,1,1,Alarm System,14,459 
Braddon,800,3,1,2,nan,12,100 
Isaacs,900,4,2,2,nan,13,919 
Braddon,850,2,2,2,Furnished,13,660 
Phillip,450,1,1,1,nan,14,424 
Nicholls,nan,4,2,2,Ensuite,12,603 
Chisholm,540,2,1,1,nan,10,672 
Campbell,540,1,1,1,Energy Eff. Rating: 6,13,628 
Phillip,610,2,2,1,Balcony,14,453 
Kingston,735,1,1,1,Furnished,15,1142 
Narrabundah,620,2,2,1,Floorboards,14,923 
Lyneham,530,2,1,1,Secure Parking,12,1116 
Harrison,800,4,2,2,Secure Parking,8,651 
Waramanga,530,2,1,1,Energy Eff. Rating: 5,13,295 
Braddon,760,2,2,2,Balcony,13,546 
Kaleen,680,3,2,2,Secure Parking,12,587 
Braddon,750,2,2,2,Balcony,13,444 
Dunlop,730,4,2,2,Built in wardrobes,9,1375 
Weston,700,3,1,1,nan,14,372 
Lyneham,800,3,2,2,Energy Eff. Rating: 6,13,575 
Lyneham,355,1,1,0,nan,13,443 
Kaleen,nan,2,1,2,Built in wardrobes,12,211 
Franklin,590,3,2,1,Built in wardrobes,10,621 
Griffith,690,1,1,1,Air conditioning,15,753 
Casey,590,2,2,1,Energy Eff. Rating: 6,10,666 
Latham,735,4,2,1,Floorboards,10,252 
Griffith,660,2,2,2,Ensuite,15,467 
Lyons,650,3,2,2,Ensuite,14,941 
Gungahlin,435,1,1,1,nan,10,697 
Belconnen,480,1,1,1,Air conditioning,10,179 
Campbell,390,1,1,1,nan,13,304 
Whitlam,1100,4,3,2,Study,5,3159 
Phillip,460,1,1,1,Secure Parking,14,399 
City,560,1,1,1,Air conditioning,13,1137 
Curtin,850,5,2,2,Energy Eff. Rating: 1.5,13,614 
Phillip,450,1,1,0,Air conditioning,16,494 
Taylor,710,4,2,2,Energy Eff. Rating: 7.5,8,867 
Kingston,480,1,1,1,Intercom,15,901 
Fraser,550,3,1,2,Balcony,8,364 
Amaroo,599,4,2,1,nan,11,873 
Strathnairn,850,4,2,2,Pets Allowed,8,2287 
Belconnen,480,1,1,1,Built in wardrobes,10,198 
Phillip,450,1,1,1,nan,14,409 
Griffith,660,2,2,2,Pets Allowed,15,853 
Belconnen,510,2,1,1,nan,10,644 
Belconnen,550,2,1,1,Air conditioning,10,223 
Pearce,700,2,2,2,Energy Eff. Rating: 4,13,518 
Ngunnawal,540,2,1,1,Garden / Courtyard,10,1202 
Phillip,400,1,1,0,Air conditioning,14,399 
Gungahlin,575,4,1,1,Dishwasher,10,799 
Gungahlin,430,1,1,1,Air conditioning,10,857 
Melba,630,3,1,2,Study,9,447 
Hughes,350,1,1,0,nan,13,301 
Lyneham,650,2,2,2,nan,13,435 
Rivett,730,3,2,2,Courtyard,14,1032 
Dickson,nan,2,3,1,Air conditioning,14,508 
Bruce,595,2,2,2,Pets Allowed,12,686 
Phillip,475,1,1,1,Furnished,14,720 
Watson,620,3,1,2,Built in wardrobes,14,439 
Macgregor,480,2,1,3,Secure Parking,10,696 
Holt,520,2,2,2,nan,10,812 
Kingston,550,1,1,1,Close to transport,15,615 
Greenway,465,1,1,1,nan,13,1030 
Hackett,950,3,2,2,Air conditioning,13,178 
Lyneham,550,1,1,1,Floorboards,13,320 
Braddon,590,2,1,1,nan,13,195 
Wright,580,2,2,2,nan,9,327 
Page,365,1,1,1,Close to transport,12,419 
Narrabundah,650,2,2,1,Air conditioning,13,459 
Gungahlin,450,1,1,1,nan,11,580 
Macquarie,740,3,1,1,Secure Parking,9,522 
Farrer,585,3,1,1,nan,13,1170 
Calwell,750,4,2,1,Air conditioning,10,631 
Gungahlin,440,1,1,1,Close to transport,10,674 
Curtin,720,3,1,1,nan,13,223 
Dickson,650,2,1,2,Secure Parking,14,443 
Red Hill,990,4,2,2,Swimming Pool,14,554 
Farrer,775,3,2,2,nan,13,670 
Gungahlin,nan,4,2,2,Heating,10,603 
Braddon,460,1,1,0,Pets Allowed,13,644 
Phillip,465,1,1,1,Air conditioning,14,424 
Phillip,840,3,2,2,Gym,14,458 
Garran,720,3,2,2,nan,13,404 
Higgins,650,3,2,2,Secure Parking,10,510 
Belconnen,470,2,1,1,nan,10,660 
Kingston,nan,3,2,2,Heating,15,692 
Kingston,690,2,2,2,nan,15,1136 
Griffith,590,1,1,1,Secure Parking,15,753 
Belconnen,480,1,1,1,nan,10,325 
Franklin,nan,1,1,1,Built in wardrobes,11,908 
Reid,630,2,2,1,Air conditioning,13,790 
Phillip,450,1,1,1,Air conditioning,14,399 
Phillip,440,1,1,1,Air conditioning,14,424 
Griffith,650,2,2,2,Pets Allowed,15,201 
Kingston,960,3,3,2,nan,15,847 
Lyneham,680,2,2,2,Spacious two-bedroom unit,13,435 
Griffith,570,2,2,1,nan,15,690 
Ngunnawal,550,3,2,2,Air conditioning,11,1039 
Phillip,710,3,2,2,Balcony,14,547 
Franklin,nan,2,2,2,nan,10,919 
Gungahlin,460,1,1,1,Gym,12,409 
Strathnairn,800,4,2,2,Built in wardrobes,8,2088 
Scullin,500,2,1,1,Built in wardrobes,13,474 
